id,contract_id,extension_number,extension_term_text,extension_term_days,extension_date,new_end_date
144ddf71-b25a-4493-b43b-6cbd7dde1cf6,8be83b54-933c-4912-9369-fadf7614c634,1,1 MES,30.0,,
e646c0f6-98a8-430c-867e-7ee44d081553,8be83b54-933c-4912-9369-fadf7614c634,2,1 MES,30.0,,
77870460-81c5-4d20-b052-68cfb2538fe5,a0a8a8bb-7534-4d2a-8c21-f6010b8c8ce5,1,30 DIAS,30.0,,
9e82b0a1-940a-4008-afab-3672b4f94189,2825d477-3a1a-43d2-b372-23d2b73f01c1,1,DOS (2) MESES,,,
d62338ca-6d28-4fc8-8b1b-2819869434ba,2825d477-3a1a-43d2-b372-23d2b73f01c1,2,TRES (3) MESES,,,
5de5e864-8605-441d-b37d-a5e59d124375,3c501fe7-6d51-421f-a8a9-302153361667,1,DOS (2) MESES,,,
bea23f60-27a5-4c63-ace6-c3b7cba65f0d,f95cc881-03ff-42f5-b309-26669557eec1,1,DOS (2) MESES,,,
eabcd0a5-c560-49ff-ae91-0040fd5d6ac6,f95cc881-03ff-42f5-b309-26669557eec1,2,DOS (2) MESES CINCO (5) DIAS,,,
6ff688eb-b6b0-4b13-b745-edce16dec9df,45c06435-9955-46a7-8b21-8f56ebf91bc6,1,DOS (2) MESES,,,
197dece4-0c15-411f-9f21-1e915592c7ac,45c06435-9955-46a7-8b21-8f56ebf91bc6,2,DOS (2) MESES CINCO (5) DIAS,,,
